Title,Genres,Publishers,Review Score,Console,Rating,Year
Marvel Ultimate Alliance,"Action,Role-Playing (RPG)",Activision,81,Sony PSP,E,2006
Marvel Ultimate Alliance,"Action,Role-Playing (RPG)",Activision,78,PlayStation 3,M,2006
Tiger Woods PGA Tour 07,Sports,EA,81,PlayStation 3,E,2006
Ace Combat X: Skies of Deception,"Action,Simulation",Namco,75,Sony PSP,E,2006
Killzone: Liberation,"Action,Strategy",Sony,77,Sony PSP,M,2006
F.E.A.R.: First Encounter Assault Recon,Action,,85,X360,E,2006
NBA 2K7,Sports,2K,80,PlayStation 3,E,2006
Tony Hawk's Project 8,Sports,Activision,76,PlayStation 3,T,2006
Avatar: The Last Airbender,Action,THQ,64,Nintendo DS,E,2006
Castlevania: Portrait of Ruin,Action,Konami,85,Nintendo DS,M,2006
Hitman: Blood Money,Action,Eidos,82,X360,E,2006
Rockstar Games presents Table Tennis,Sports,Rockstar,81,X360,M,2006
Trauma Center: Second Opinion,"Action,Simulation",Nintendo,80,Nintendo Wii,T,2006
Tenchu Z,Action,Microsoft,56,X360,E,2006
Elite Beat Agents,Action,Nintendo,87,Nintendo DS,M,2006
Street Fighter Alpha 3 MAX,Action,Capcom,80,Sony PSP,M,2006
Blue Dragon,Role-Playing (RPG),Microsoft,79,X360,T,2006
The Lord of the Rings: The Battle for Middle Ea...,Strategy,EA,79,X360,T,2006
Prey,Action,2K,79,X360,T,2006
Over the Hedge,Adventure,Activision,71,Nintendo DS,E,2006
Capcom Classics Collection Reloaded,Action,Capcom,75,Sony PSP,T,2006
Pirates of the Caribbean: Dead Man's Chest,Action,,52,Sony PSP,T,2006
NHL 07 ,Sports,EA,79,X360,T,2006
Monster Hunter Freedom,"Action,Strategy",Capcom,71,Sony PSP,E,2006
Chromehounds,"Action,Simulation,Strategy",Sega,71,X360,T,2006
Test Drive Unlimited,Racing / Driving,Atari,82,X360,T,2006
Dragon Ball Z: Budokai Tenkaichi 2,Action,Atari,72,Nintendo Wii,E,2006
Dragon Quest Monsters: Joker,Role-Playing (RPG),SquareEnix,75,Nintendo DS,T,2006
Pirates of the Caribbean: Dead Man's Chest,Action,,63,Nintendo DS,E,2006
NFL Street 3,"Action,Sports",EA,68,Sony PSP,T,2006
Syphon Filter: Dark Mirror,Action,Sony,87,Sony PSP,M,2006
NBA 07,Sports,Sony,63,PlayStation 3,T,2006
Ridge Racer 7,Racing / Driving,"Namco,Sony",78,PlayStation 3,E,2006
The Outfit,Action,THQ,70,X360,E,2006
Elebits,Action,Konami,75,Nintendo Wii,T,2006
Tony Hawk's Downhill Jam,"Racing / Driving,Sports",Activision,76,Nintendo DS,T,2006
The Sims 2: Pets,Simulation,EA,57,Sony PSP,T,2006
Tiger Woods PGA Tour 07,Sports,EA,78,Sony PSP,E,2006
Thrillville,"Simulation,Strategy",Atari,72,Sony PSP,E,2006
The Godfather: The Game,Action,EA,77,X360,T,2006
Rampage: Total Destruction,Action,Midway,46,Nintendo Wii,E,2006
College Hoops 2K7,Sports,2K,82,X360,T,2006
Far Cry: Instincts - Predator,Action,Ubisoft,78,X360,E,2006
Full Auto,"Action,Racing / Driving",Sega,70,X360,E,2006
Age of Empires: The Age of Kings,Strategy,,80,Nintendo DS,T,2006
Need for Speed: Carbon - Own the City,"Action,Racing / Driving",EA,70,Nintendo DS,T,2006
Brothers in Arms: D-Day,Action,Ubisoft,65,Sony PSP,T,2006
Family Guy Video Game!,Action,2K,51,Sony PSP,M,2006
Superman Returns,Action,EA,51,X360,E,2006
Over G Fighters,Simulation,Ubisoft,49,X360,E,2006
Final Fantasy XI Online,"Action,Role-Playing (RPG)",SquareEnix,66,X360,E,2006
Mystery Dungeon: Shiren the Wanderer,"Action,Role-Playing (RPG)",Sega,69,Nintendo DS,T,2006
Phoenix Wright: Ace Attorney - Justice for All,"Adventure,Simulation",Capcom,76,Nintendo DS,E,2006
Justice League Heroes,Action,,72,Sony PSP,M,2006
Valhalla Knights,"Action,Role-Playing (RPG)",,53,Sony PSP,T,2006
Genji: Days of the Blade,"Action,Role-Playing (RPG)",Sony,55,PlayStation 3,T,2006
Top Spin 2,Sports,2K,75,X360,T,2006
Field Commander,Strategy,"Sony,Ubisoft",77,Sony PSP,T,2006
Children of Mana,"Action,Role-Playing (RPG)","Nintendo,SquareEnix",65,Nintendo DS,E,2006
Valkyrie Profile: Lenneth,Role-Playing (RPG),SquareEnix,80,Sony PSP,E,2006
Monster House,Action,THQ,62,Nintendo DS,M,2006
Enchanted Arms,Role-Playing (RPG),Ubisoft,69,X360,E,2006
NHL 07,Sports,EA,76,Sony PSP,M,2006
Bust-a-Move Deluxe,Strategy,,73,Sony PSP,M,2006
Full Auto 2: Battlelines,"Action,Racing / Driving",Sega,67,PlayStation 3,T,2006
Blitz: The League,Sports,Midway,69,X360,T,2006
Star Trek Legacy,"Action,Strategy",Ubisoft,64,X360,E,2006
Eragon,"Action,Role-Playing (RPG)",,63,Nintendo DS,E,2006
Master of Illusion,Strategy,Nintendo,69,Nintendo DS,E,2006
Mega Man ZX,Action,Capcom,76,Nintendo DS,T,2006
Untold Legends: The Warrior's Code,"Action,Role-Playing (RPG)","Sony,Ubisoft",65,Sony PSP,T,2006
Super Swing Golf,Sports,,72,Nintendo Wii,T,2006
X-Men: The Official Game,Action,Activision,52,X360,M,2006
Untold Legends: Dark Kingdom,"Action,Role-Playing (RPG)","EA,Sony",58,PlayStation 3,E,2006
Happy Feet,Action,Midway,46,Nintendo Wii,E,2006
Open Season,Action,Ubisoft,72,Nintendo DS,T,2006
Dungeon Siege: Throne of Agony,Role-Playing (RPG),2K,74,Sony PSP,E,2006
LocoRoco,"Action,Strategy",Sony,83,Sony PSP,T,2006
Dead or Alive: Xtreme 2,"Racing / Driving,Sports",,53,X360,T,2006
Fuzion Frenzy 2,"Action,Sports",Microsoft,49,X360,T,2006
MotoGP '06,"Racing / Driving,Simulation,Sports",THQ,80,X360,M,2006
Lumines II,Strategy,,81,Sony PSP,E,2006
Major League Baseball 2K6,Sports,2K,69,Sony PSP,M,2006
Star Wars: Lethal Alliance,Action,Ubisoft,61,Sony PSP,T,2006
Worms: Open Warfare,"Action,Strategy",THQ,70,Sony PSP,T,2006
Eragon,Action,,59,Sony PSP,E,2006
Metal Slug Anthology,Action,,73,Nintendo Wii,T,2006
Open Season,Action,Ubisoft,59,X360,E,2006
Tom Clancy's Splinter Cell: Double Agent,Action,Ubisoft,61,Nintendo Wii,T,2006
Avatar: The Last Airbender,Action,THQ,57,Sony PSP,E,2006
Lemmings,Strategy,Sony,76,Sony PSP,E,2006
Mega Man Powered Up,Action,Capcom,82,Sony PSP,E,2006
College Hoops 2K6,Sports,2K,70,X360,E,2006
Dynasty Warriors 5: Empires,"Action,Role-Playing (RPG),Strategy",,61,X360,T,2006
Magical Starsign,Role-Playing (RPG),Nintendo,69,Nintendo DS,E,2006
Resident Evil: Deadly Silence,Action,Capcom,71,Nintendo DS,E,2006
X-Men: The Official Game,Action,Activision,50,Nintendo DS,E,2006
Cabela's African Safari,Sports,Activision,53,X360,E,2006
Cabela's Alaskan Adventures,Sports,Activision,48,X360,E,2006
Armored Core 4,Action,Sega,65,PlayStation 3,E,2006
Eragon,Action,,48,X360,T,2006
LostMagic,"Action,Role-Playing (RPG)",Ubisoft,68,Nintendo DS,T,2006
Magnetica,"Action,Strategy",Nintendo,68,Nintendo DS,T,2006
Def Jam Fight for NY: The Takeover,Action,EA,79,Sony PSP,T,2006
NASCAR 07,"Racing / Driving,Simulation",EA,66,Sony PSP,T,2006
The Ant Bully,Action,Midway,45,Nintendo Wii,T,2006
Just Cause,"Action,Racing / Driving",Eidos,73,X360,E,2006
Onechanbara: Bikini Samurai Squad,Action,,39,X360,E,2006
Phantasy Star Universe,Role-Playing (RPG),Sega,64,X360,E,2006
Project Sylpheed: Arc of Deception,Action,"Microsoft,SquareEnix",64,X360,T,2006
Winning Eleven: Pro Evolution Soccer 2007,Sports,Konami,80,X360,E,2006
Kororinpa: Marble Mania,"Action,Strategy",Nintendo,69,Nintendo Wii,T,2006
Digimon World DS,Role-Playing (RPG),Namco,49,Nintendo DS,E,2006
Justice League Heroes,Action,,43,Nintendo DS,E,2006
Innocent Life: A Futuristic Harvest Moon,"Role-Playing (RPG),Simulation,Strategy",,67,Sony PSP,E,2006
Power Stone Collection,Action,Capcom,74,Sony PSP,M,2006
EA Replay,"Action,Role-Playing (RPG),Simulation,Sports,Strategy",EA,56,Sony PSP,E,2006
Open Season,Action,Ubisoft,49,Nintendo Wii,M,2006
Samurai Warriors 2,Action,,52,X360,M,2006
Far Cry: Vengeance,Action,Ubisoft,38,Nintendo Wii,E,2006
Import Tuner Challenge,Racing / Driving,Ubisoft,54,X360,E,2006
Contact,"Adventure,Role-Playing (RPG)",,73,Nintendo DS,E,2006
Touch Detective,Adventure,,60,Nintendo DS,T,2006
